desa  ,longitude,latitude,luas_sawah_ha,kec
Pandansari,112.804503,-8.068035,1,Poncokusumo
Ngadireso,112.777769,-8.072288,81,Poncokusumo
Karanganyar,112.753977,-8.068651,147,Poncokusumo
Jambesari,112.735938,-8.069622,178,Poncokusumo
Pajaran,112.721179,-8.042528,152.2,Poncokusumo
Argosuko,112.73587,-8.032562,196,Poncokusumo
Ngebruk,112.735974,-8.049342,176,Poncokusumo
Karangnongko,112.756936,-8.050426,164.755,Poncokusumo
Wonomulyo,112.753898,-8.033057,110,Poncokusumo
Belung,112.765903,-8.027320,143,Poncokusumo
Wonorejo,112.783713,-8.046722,65,Poncokusumo
Poncokusumo,112.834257,-8.049679,1,Poncokusumo
Wringinanom,112.801563,-8.035185,1,Poncokusumo
Gubugklakah,112.843382,-8.012370,1,Poncokusumo
Ngadas,112.893989,-8.035874,1,Poncokusumo
Tambakasri,112.634747,-8.055285,122,Tajinan
Tangkilsari,112.652664,-8.054364,150.3,Tajinan
Jambearjo,112.660062,-8.07558,131,Tajinan
Jatisari,112.670503,-8.068512,90,Tajinan
Pandanmulyo,112.689942,-8.078642,215.2,Tajinan
Ngawonggo,112.706298,-8.076551,144,Tajinan
Purwosekar,112.700302,-8.061714,187.8,Tajinan
Gunungronggo,112.706484,-8.051253,136,Tajinan
Gunungsari,112.694344,-8.041730,62,Tajinan
Tajinan,112.679334,-8.049909,84.7,Tajinan
Randugading,112.670533,-8.058046,129,Tajinan
Sumbersuko,112.664638,-8.043168,136,Tajinan
Sukonolo,112.612221,-8.110268,232,Bululawang
Gading,112.628765,-8.106638,60,Bululawang
Krebet,112.640664,-8.105938,176,Bululawang
Bakalan,112.652685,-8.120606,138.657,Bululawang
Sudimoro,112.670483,-8.124599,117.5,Bululawang
Kasri,112.676433,-8.108977,105,Bululawang
Pringu,112.682454,-8.098529,176,Bululawang
Kasembon,112.676429,-8.088551,168,Bululawang
Kuwolu,112.658561,-8.094770,136,Bululawang
